course,EX,A,B,C,D,P,F,session
EE40002-ELECTRIC DRIVES ,1,3,11,13,10,2,1,Spring 22
EE48002-COMPREHENSIVE VIVA VOCE ,0,0,1,3,0,1,1,Spring 22
EE49004-POWER APPARATUS & SYSTEM DESIGN ,1,11,15,7,7,1,1,Spring 22
MA60241- ,0,0,0,0,0,0,1,Spring 22
EE60012- ,0,0,0,0,1,0,1,Spring 22
EE60020- ,0,0,1,0,2,1,1,Spring 22
EE60036- ,0,2,0,0,1,0,1,Spring 22
EE47008-PROJECT - PART 2 ,6,1,1,1,1,2,0,Spring 22
EE60002- ,0,0,0,1,1,0,0,Spring 22
EE60004- ,0,0,0,1,1,0,0,Spring 22
EE60082- ,0,0,3,2,1,2,0,Spring 22
AT60003- ,3,1,0,1,0,0,0,Autumn 22
EE48001-INDUSTRIAL TRAINING ,6,60,30,4,1,0,2,Autumn 22
EE57301-PROJECT - PART 3 ,0,1,1,0,0,0,0,Autumn 22
EE58003-COMPREHENSIVE VIVA - I ,1,4,10,14,6,1,0,Autumn 22
EE60003- ,0,0,0,2,0,0,0,Autumn 22
EE69003- ,0,2,0,0,0,0,0,Autumn 22
EE60101- ,3,9,15,10,3,0,0,Spring 22
EE60102- ,1,3,25,8,4,0,0,Spring 22
EE69014- ,6,10,15,7,2,1,0,Spring 22
EE57501-PROJECT - PART 3 ,1,2,11,9,7,3,0,Autumn 22
EE69019- ,3,14,18,3,0,0,0,Autumn 22
ET60007- ,5,8,13,5,3,1,0,Autumn 22
IM60051- ,5,11,6,5,6,1,0,Autumn 22
MM61513- ,2,0,0,0,0,0,0,Autumn 22
SE66001- ,1,1,0,3,0,0,0,Spring 22
EE60039- ,6,4,7,4,6,8,7,Autumn 22
EE60030- ,0,1,0,1,2,0,0,Spring 22
EE60024- ,0,0,0,1,0,0,0,Spring 22
EE60096- ,0,0,0,1,0,0,0,Spring 22
EE69018- ,0,0,1,0,0,0,0,Spring 22
EE57401-PROJECT - PART 3 ,0,1,0,0,0,0,0,Autumn 22
EE60005- ,0,1,0,0,0,0,0,Autumn 22
EE60019- ,1,0,1,0,0,0,0,Autumn 22
EE60053- ,0,0,0,0,1,2,0,Autumn 22
EE69011- ,0,0,1,1,0,0,0,Autumn 22
EC31006-MICROCONTROLLER & EMBEDDED SYSTEMS ,4,37,70,24,2,1,0,Spring 22
EX41002-ELECTROMAGNETIC METHODS OF  PROSPECTING ,0,0,5,13,2,0,0,Spring 22
EX41004-NUCLEAR GEOPHYSICS ,0,20,0,0,0,0,0,Spring 22
EX48018-GEOPHYSICAL FIELDWORK - I ,18,2,0,0,0,0,0,Spring 22
EX49002-ELECTROMAGNETIC METHODS LABORATORY ,1,5,9,3,0,2,0,Spring 22
EX49004-NUCLEAR GEOPHYSICS LABORATORY ,0,20,0,0,0,0,0,Spring 22
GG40004-SEQUENCE STRATIGRAPHY ,0,6,52,23,2,0,0,Spring 22
GG40006-ENVIRONMENTAL HAZARDS AND MITIGATION ,2,9,13,9,4,0,0,Spring 22
EX51003-REMOTE SENSING ,8,12,20,5,0,0,0,Autumn 22
EX57007-PROJECT ,4,4,6,0,0,6,0,Autumn 22
EX58003-SUMMER TRAINING/PROJECT/INTERNSHIP ,14,6,0,0,0,0,0,Autumn 22
GG60201- ,2,4,6,1,1,0,0,Autumn 22
EX50002-TECTONICS & GEODYNAMICS ,0,1,3,3,1,0,0,Spring 22
GG50023-MODELING AND SIMULATION OF GEOLOGICAL  PROCESSES ,3,11,2,7,3,1,0,Autumn 22
GG52007-ENERGY RESOURCES ,0,2,3,9,6,8,0,Autumn 22
GG40241-LIFE AND MASS EXTINCTIONS ,0,2,0,1,0,0,0,Autumn 22
CL61203- ,0,0,0,1,0,0,0,Autumn 22
CH61016- ,1,0,1,4,4,0,0,Spring 22
IE47006-PROJECT-II ,2,1,0,0,0,0,2,Spring 22
IE48002-COMPREHENSIVE VIVA VOCE ,0,0,0,0,0,1,0,Spring 22
EE60043- ,0,1,1,1,2,2,0,Autumn 22
EE69021- ,0,0,1,0,0,0,0,Autumn 22
IE48001-INDUSTRIAL TRAINING ,4,21,9,2,2,0,0,Autumn 22
IE57101-PROJECT - III ,0,0,0,1,0,0,0,Autumn 22
IE58101-COMPREHENSIVE VIVA - I ,0,1,0,0,5,3,0,Autumn 22
EE69001- ,1,3,4,0,0,0,0,Autumn 22
IE57201-PROJECT - III ,1,1,2,3,1,0,0,Autumn 22
EE30012-ELECTROMAGNETIC THEORY & APPL ,0,3,6,11,21,1,0,Spring 22
EE60062- ,0,5,1,4,4,1,0,Autumn 22
IM31014-DESIGN FOR ASSEMBLY AND AUTOMATION ,1,0,0,0,0,1,0,Spring 22
IM61026- ,1,6,3,0,1,0,0,Spring 22
IM48001-INDUSTRIAL TRAINING ,2,16,13,0,0,0,0,Autumn 22
IM60203- ,0,3,7,5,5,1,0,Autumn 22
IM47004-PROJECT-II ,4,3,5,2,0,1,0,Spring 22
IM60068- ,2,8,1,2,0,0,0,Spring 22
IM61020- ,0,5,2,0,0,0,0,Spring 22
IM57003-PROJECT - III ,7,22,22,8,0,0,1,Autumn 22
IM58003-COMPREHENSIVEVIVA VOCE ,3,7,6,7,5,0,0,Autumn 22
IM60059- ,7,6,9,6,8,3,0,Autumn 22
IM60205- ,0,1,7,2,4,2,0,Autumn 22
IM60213- ,6,11,4,4,2,1,1,Autumn 22
IM61007- ,1,0,0,1,0,0,0,Autumn 22
BM51002-MARKET MICROSTRUCTURE ,0,0,0,0,0,1,0,Spring 22
EP60020- ,24,22,20,14,8,9,0,Autumn 22
ME60353- ,11,9,4,0,0,1,1,Autumn 22
HS41002-ECONOMETRIC ANALYSIS I ,11,39,13,0,0,0,0,Spring 22
IM48002-COMPREHENSIVE VIVA VOCE ,0,1,1,1,0,0,0,Spring 22
GG50010-APPLIED MICROPALEONTOLOGY ,4,8,5,8,0,1,0,Spring 22
GG58006-FIELD WORK (6 WEEKS) ,0,26,0,0,0,0,0,Spring 22
GG59010-APPLIED MICROPALEONTOLOGY LABORATORY ,9,6,10,1,0,0,0,Spring 22
GG59022-GROUNDWATER GEOLOGY LABORATORY ,7,10,5,4,0,0,0,Spring 22
EX59003-REMOTE SENSING LAB. ,2,5,19,0,0,0,0,Autumn 22
GG57007-PROJECT ,4,7,11,4,0,0,0,Autumn 22
GG58005-SUMMER TRAINING/PROJECT/INTERNSHIP ,15,8,0,0,0,0,0,Autumn 22
GG59023-MODELING AND SIMULATION LABORATORY ,4,3,4,5,5,5,0,Autumn 22
HS70006- ,4,2,0,0,0,0,0,Spring 22
GG40013-PALEOBIOLOGY AND PALEOECOLOGY ,0,4,8,12,7,1,0,Autumn 22
GG40002-GEOEXPLORATION ,1,2,3,5,3,0,0,Autumn 22
CR61023- ,0,1,2,2,0,0,0,Autumn 22
GG52001-MARINE GEOSCIENCES ,11,21,4,1,1,0,0,Autumn 22
PE40001-PETROLEUM ENGINEERING FUNDAMENTALS ,0,2,1,2,2,0,0,Autumn 22
MA21007-DESIGN & ANALYSIS OF ALGORITHMS ,2,3,2,1,0,0,0,Autumn 22
HS40078-INTERNATIONAL TRADE ,4,31,14,2,0,0,0,Spring 22
HS50019-ECONOMIC MODELLING ,3,13,17,14,2,0,0,Spring 22
HS59001-APPLIED ECONOMETRICS LABORATORY ,9,23,14,3,0,1,0,Spring 22
HS60092- ,8,21,8,2,0,0,0,Spring 22
HS48001-INDUSTRIAL TRAINING ,13,17,19,1,0,0,0,Autumn 22
HS50001-ADVANCED ECONOMIC THEORY ,2,8,21,18,0,0,0,Autumn 22
HS50024-ECONOMICS OF CLIMATE CHANGE ,4,10,20,9,0,0,0,Autumn 22
HS50025-INTERNATIONAL FINANCE ,3,3,14,14,8,8,0,Autumn 22
HS57003-PROJECT & SEMINAR ,17,11,22,0,0,0,0,Autumn 22
CL60019- ,0,2,0,4,1,13,1,Autumn 22
MA21201-REAL ANALYSIS ,5,13,23,25,20,20,5,Autumn 22
MA30008-TOPOLOGY ,5,7,10,17,12,23,1,Autumn 22
MA30231-FUNCTIONAL ANALYSIS ,6,16,14,17,22,0,0,Autumn 22
HS40091-DERIVATIVES ,1,1,3,0,0,0,0,Autumn 22
MA60059- ,0,0,0,1,0,0,0,Autumn 22
EP60044- ,31,32,19,6,0,1,0,Autumn 22
MA40002-INTEGRAL EQUATIONS & VARIATIONAL METHODS ,10,25,13,4,4,0,0,Spring 22
MA41017-STOCHASTIC PROCESSES ,20,18,11,7,0,0,0,Spring 22
MA57011-PROJECT - PART I ,5,26,18,4,3,0,0,Autumn 22
MA58007-SUMMER TRAINING ,8,25,20,3,0,0,0,Autumn 22
MA61027- ,5,2,2,3,1,2,2,Autumn 22
TE30002-INTRODUCTION TO WIRELESS COMMUNICATIONS ,1,7,3,2,1,2,0,Autumn 22
MA60053- ,1,1,0,0,0,0,0,Spring 22
MA61008- ,0,2,1,2,0,0,0,Spring 22
BM60023- ,6,12,20,14,7,6,1,Autumn 22
MA60049- ,0,0,1,0,0,0,0,Autumn 22
HS20014-ECONOMICS OF SUSTIANABLE DEVELOPMENT ,4,3,3,0,0,0,0,Spring 22
MA71002- ,0,0,1,0,0,0,0,Spring 22
EP61201- ,3,3,2,2,8,5,0,Autumn 22
ME48602-COMPREHENSIVE VIVA ,5,8,15,9,6,1,0,Spring 22
ME60232- ,0,0,1,0,0,0,0,Spring 22
ME60234- ,0,3,24,13,1,0,0,Spring 22
ME60352- ,25,17,0,1,0,0,0,Spring 22
ME69008- ,0,0,0,1,0,0,0,Spring 22
MF30604-NON-TRADITIONAL MANUFACTURING PROCESSES ,0,2,41,31,1,4,0,Spring 22
ME60006- ,1,9,44,23,3,0,0,Spring 22
ME60012- ,3,5,10,9,1,1,1,Spring 22
ME60416- ,5,14,10,5,0,0,0,Spring 22
ME60430- ,14,27,43,16,0,0,0,Spring 22
ME47602-PROJECT-II ,15,16,14,4,2,1,0,Spring 22
ME60306- ,0,39,38,8,0,0,0,Spring 22
ME60350- ,9,47,5,1,0,1,0,Spring 22
CS21003-ALGORITHMS - I ,4,2,9,2,1,0,1,Autumn 22
ME48701-SUMMER TRAINING ,61,111,34,12,0,0,1,Autumn 22
ME57003-DUAL DEGREE PROJECT - PART I ,11,32,27,11,0,0,0,Autumn 22
ME58003-COMPREHENSIVE VIVA (UG) ,6,13,18,18,17,9,0,Autumn 22
ME60133- ,2,5,6,9,5,16,2,Autumn 22
ME60215- ,37,32,17,18,18,0,0,Autumn 22
ME61011- ,38,34,17,9,6,1,0,Autumn 22
ME60134- ,1,1,0,1,0,0,0,Spring 22
ME60236- ,1,0,0,0,0,0,0,Spring 22
ME60407- ,1,3,4,3,0,0,0,Autumn 22
ME60413- ,1,1,3,1,0,0,0,Autumn 22
ME60004- ,3,9,38,2,0,0,0,Spring 22
ME60231- ,7,7,3,3,2,8,0,Autumn 22
MF30003-ROBOTS AND COMPUTER CONTROLLED MACHINES ,7,60,5,0,0,0,0,Spring 22
ME60105- ,6,4,19,0,0,0,0,Autumn 22
AT67005- ,1,0,0,0,0,0,0,Spring 22
ME60133- ,0,0,0,0,0,1,0,Spring 22
ME60404- ,11,4,4,2,2,0,0,Spring 22
ME60014- ,3,5,0,0,0,0,0,Spring 22
ME60310- ,0,3,0,2,0,0,0,Spring 22
ME60017- ,2,5,3,4,0,2,0,Autumn 22
ME60073- ,1,4,0,0,0,0,0,Autumn 22
ME60085- ,0,0,1,2,1,2,0,Autumn 22
ME60111- ,2,3,3,3,0,0,0,Autumn 22
ME60131- ,0,1,1,1,0,0,0,Autumn 22
ME60136- ,0,1,0,0,0,0,0,Spring 22
ME60103- ,10,7,2,1,3,2,0,Autumn 22
ME60403- ,0,2,7,4,11,9,0,Autumn 22
ME60135- ,0,0,0,1,0,1,0,Autumn 22
ME60416- ,1,1,1,0,0,0,0,Autumn 22
ME60432- ,3,0,0,1,0,0,0,Spring 22
ME60414- ,0,1,0,0,0,0,0,Spring 22
IM60207- ,0,0,0,3,1,0,0,Autumn 22
IM60003- ,5,9,8,7,2,1,0,Autumn 22
IM60004- ,0,0,3,3,0,0,0,Spring 22
IM61207- ,0,0,1,1,1,0,0,Autumn 22
IM60006- ,0,1,6,3,0,0,0,Spring 22
HS31072-ENVIRONMENTAL ECONOMICS ,9,18,21,7,0,0,0,Autumn 22
EE60034- ,0,0,0,0,1,0,0,Spring 22
MT41007-JOINING OF METALS ,1,2,6,2,2,0,0,Spring 22
MT47002-PROJECT-II ,3,1,0,0,0,0,1,Spring 22
MT60006- ,2,7,3,0,2,0,0,Spring 22
MT60150- ,1,0,1,1,0,0,0,Spring 22
MT48001-INDUSTRIAL TRAINING ,10,5,0,0,0,0,1,Autumn 22
MT57003-PROJECT III ,4,5,2,4,0,0,0,Autumn 22
MT58001-COMPREHENSIVE VIVA VOCE ,2,3,2,6,3,0,0,Autumn 22
MT60005- ,2,2,4,2,2,0,1,Autumn 22
MT61141- ,2,2,3,3,0,2,0,Autumn 22
MT41034-METALLURGICAL FAILURE ANALYSIS ,1,0,0,0,0,0,0,Spring 22
MT41112-SURFACE ENGINEERING ,1,0,0,0,0,0,0,Spring 22
MT61138- ,0,1,0,0,0,0,0,Spring 22
MT60008- ,1,0,2,0,4,2,0,Autumn 22
MT61143- ,1,0,0,0,0,0,0,Autumn 22
MT41025-NON DESTRUCTIVE TESTING ,0,2,0,0,0,0,0,Spring 22
MT60148- ,0,4,2,0,0,0,0,Spring 22
MT41028-ATOMISTIC MODELLING OF MATERIALS ,2,0,1,0,1,0,0,Spring 22
MT61136- ,1,0,0,0,0,0,0,Spring 22
MS67103- ,0,0,1,0,0,0,0,Autumn 22
MT60139- ,0,2,0,0,0,0,1,Autumn 22
MT60134- ,0,0,0,1,1,0,0,Spring 22
MT60007- ,2,3,3,5,2,0,1,Autumn 22
MT61123- ,0,0,0,0,0,0,0,Spring 22
MT61151- ,0,0,1,0,1,2,0,Autumn 22
MS60030- ,0,1,2,0,0,0,0,Spring 22
MT48002-COMPREHENSIVE VIVA-VOCE ,0,1,2,0,0,0,0,Spring 22
MT48003-SUMMER TRAINING ,6,19,8,0,0,0,0,Autumn 22
IM20202-WORK SYSTEM DESIGN ,10,21,26,19,4,0,0,Spring 22
MI40004-MINE SAFETY & LEGISLATION ,5,26,15,3,0,0,0,Spring 22
MI47004-PROJECT ,3,7,4,4,0,0,0,Spring 22
MI48002-COMPREHENSIVE VIVA-VOCE ,1,3,16,15,0,0,0,Spring 22
MI60026- ,0,2,1,6,1,0,0,Spring 22
MI60035- ,0,7,24,6,0,0,0,Spring 22
MI60036- ,3,5,0,0,0,0,0,Spring 22
MI60045- ,2,2,21,5,1,0,0,Spring 22
MI48001-INDUSTRIAL TRAINING ,8,25,30,13,0,0,0,Autumn 22
MI50003-RESCUE AND DISASTER MANAGEMENT ,2,2,12,8,2,2,0,Autumn 22
MI57001-PROJECT ,4,9,17,7,2,0,0,Autumn 22
MI59001-NUMERICAL MODELLING LABORATORY-I ,2,4,8,8,3,0,0,Autumn 22
MI60047- ,14,13,12,19,4,2,0,Autumn 22
MI60235- ,2,2,10,16,13,4,0,Autumn 22
MI60215- ,7,6,11,15,9,0,0,Autumn 22
MI60016- ,3,0,3,1,0,0,0,Autumn 22
BM63088- ,0,0,1,0,0,0,0,Autumn 22
MI60227- ,0,2,3,0,0,0,0,Autumn 22
MI60039- ,0,1,0,1,0,0,0,Autumn 22
MI60210- ,4,11,3,3,0,0,0,Spring 22
MI40036-ADVANCED QUANTITATIVE DECISION MAKING ,0,1,0,0,0,0,0,Spring 22
MI45008-SAFETY ENGINEERING ,1,1,5,7,0,0,0,Spring 22
MI49001-SAFETY ENGINEERING LAB. ,0,12,2,0,0,0,0,Spring 22
MI58001-COMPREHENSIVE VIVA-VOCE ,0,0,4,10,0,0,0,Autumn 22
MI59003-RESCUE AND DISASTER MANAGEMENT LABORATORY ,6,7,1,0,0,0,0,Autumn 22
MI40042-TUNNELING & UNDERGROUND SPACE TECHNOLOGY ,7,9,16,23,6,0,0,Spring 22
PH41016-NUCLEAR AND PARTICLE PHYSICS -I ,0,5,65,13,4,0,0,Spring 22
MI60078- ,0,0,1,1,0,0,0,Spring 22
MI60042- ,1,0,0,0,0,0,0,Spring 22
NA40020-COMPUTATIONAL MARINE HYDRODYNAMICS ,2,4,2,1,1,2,0,Spring 22
NA48002-COMPREHENSIVE VIVA ,0,3,16,6,4,2,0,Spring 22
NA60038- ,0,2,2,13,7,3,0,Spring 22
NA60052- ,0,0,0,4,2,1,0,Spring 22
NA60060- ,1,4,1,0,2,1,0,Spring 22
NA60022- ,0,0,1,2,1,0,0,Spring 22
NA48001-INDUSTRIAL TRAINING ,5,10,21,12,1,0,1,Autumn 22
NA57003-PROJECT ,4,9,10,0,1,0,1,Autumn 22
NA59007-DESIGN LABORATORY ,2,6,7,5,4,0,1,Autumn 22
NA60003- ,0,0,0,0,2,1,0,Autumn 22
NA60014- ,2,4,4,0,0,0,0,Spring 22
NA47004-PROJECT-II ,4,9,0,0,1,0,1,Spring 22
NA60021- ,0,0,0,0,0,1,0,Spring 22
MA30227-OPTIMIZATION TECHNIQUES ,10,24,26,13,12,3,1,Autumn 22
NA61001- ,1,5,14,9,6,3,0,Autumn 22
NA60021- ,0,3,3,1,1,1,0,Autumn 22
NA60045- ,2,1,2,0,1,1,1,Autumn 22
NA60048- ,0,4,0,1,0,0,0,Spring 22
NA61005- ,0,0,1,5,3,0,1,Autumn 22
ES61201- ,0,0,1,2,0,1,0,Autumn 22
PH41009-ORDER AND CHAOS ,3,1,8,9,7,2,0,Spring 22
PH49014-CONDENSED MATTER PHYSICS LAB-II ,25,5,0,0,0,0,0,Spring 22
PH52002-ATOMIC AND MOLECULAR PHYSICS ,2,24,3,0,0,0,0,Spring 22
PH58036-INTRODUCTION TO ASTRONOMY & ASTROPHYSICS ,0,3,8,0,1,0,0,Spring 22
PH61007- ,1,2,3,4,1,1,0,Spring 22
PH51001-EXPERIMENTAL METHODS ,3,5,7,6,5,2,1,Autumn 22
PH51023-STATISTICAL PHYSICS-II ,2,2,6,7,5,6,1,Autumn 22
PH57001-PROJECT PART-I ,4,5,9,4,3,3,1,Autumn 22
PH58033-SUMMER TRAINING ,5,2,13,4,2,0,3,Autumn 22
PH60305- ,0,3,2,4,3,3,1,Autumn 22
PH60033- ,0,3,2,1,0,0,0,Spring 22
PH61010- ,1,4,0,1,1,0,0,Spring 22
AT60205- ,4,3,4,7,3,1,0,Autumn 22
PH60034- ,1,0,2,1,1,0,0,Autumn 22
PH60042- ,0,1,0,0,0,1,0,Autumn 22
EP60201- ,2,14,6,1,0,0,0,Autumn 22
PH60308- ,1,2,4,5,5,3,3,Autumn 22
CY61039- ,0,0,1,0,0,0,0,Spring 22
HS20002-GENERAL PSYCHOLOGY ,2,68,7,1,1,1,0,Spring 22
RD30005-FUNDAMENTALS OF RURAL INNOVATION AND MANAGEMENT ,3,6,7,6,2,3,0,Autumn 22
MA20104-PROBABILITY & STATISTICS ,0,0,1,0,0,0,0,Autumn 22
PH60309- ,0,1,2,1,0,1,0,Autumn 22
PH60109- ,1,1,0,0,0,0,0,Autumn 22
PH60308- ,0,0,0,1,0,1,0,Spring 22
PH60303- ,0,1,3,3,3,2,2,Autumn 22
PH60044- ,0,1,0,1,0,0,0,Spring 22
PH60406- ,2,0,1,1,0,1,0,Spring 22
PH60035- ,1,0,2,4,4,4,2,Autumn 22
CR60006- ,0,0,2,0,0,0,0,Spring 22
PH61014- ,0,1,0,0,0,0,0,Spring 22
CR61021- ,0,1,2,0,0,0,0,Autumn 22
AE31002-AEROSPACE STRUCTURAL DYNAMICS ,6,29,12,3,3,0,1,Spring 22
AE31004-AIRCRAFT STABILITY AND CONTROL ,0,3,5,13,18,14,0,Spring 22
AE31006-COMPUTER APPLICATION IN AERO. ENGINEERING ,11,21,13,8,0,0,1,Spring 22
AE31008-THEORY OF JET PROPULSION ,2,5,39,2,5,0,0,Spring 22
AE31010-VISCOUS FLOW THEORY ,5,5,14,11,12,7,0,Spring 22
AE39002-SYSTEM LABORATORY ,6,20,14,8,1,3,2,Spring 22
AE39004-PROPULSION LABORATORY ,3,19,23,4,1,2,1,Spring 22
AE49003-AIRCRAFT DESIGN & OPTIMISATION ,11,8,16,10,7,1,0,Autumn 22
AE47007-PROJECT-I ,19,20,5,1,0,0,0,Autumn 22
HS20001-ECONOMICS ,0,0,1,1,0,1,0,Autumn 22
EE60038- ,1,2,2,2,2,0,0,Autumn 22
AE40031-COMPUTATIONAL FLUID DYNAMICS ,3,3,10,12,10,23,2,Autumn 22
AE40030-ADVANCED GAS TURBINE THEORY ,3,3,2,1,0,0,1,Autumn 22
IP60017- ,1,2,6,9,2,1,0,Autumn 22
HS30074-SCIENCE AND HUMANISM ,25,26,29,29,1,0,0,Autumn 22
HS30001-INTRODUCTION TO SOCIOLOGY ,1,18,26,1,1,0,0,Autumn 22
AT60006- ,4,8,7,0,0,1,0,Spring 22
AE40007-INTRODUCTION TO HELICOPTER ENGINEERING ,1,0,1,0,0,0,0,Autumn 22
ET61005- ,0,4,0,0,0,0,0,Autumn 22
HS20016-ENVIRONMENTAL HUMANITIES ,10,23,43,11,0,0,0,Autumn 22
EX41005-EARTH AND PLANETARY SYSTEMS ,0,0,1,1,0,0,0,Autumn 22
WM60005- ,2,0,1,0,1,0,0,Autumn 22
HS21201-ECONOMICS ,16,72,154,130,119,78,6,Autumn 22
HS60039- ,0,0,1,1,0,0,0,Autumn 22
MA40003-SYSTEMS PROGRAMMING ,9,16,15,6,10,11,0,Autumn 22
MA40007-THEORY OF COMPILER DESIGN ,0,1,0,0,0,0,0,Autumn 22
AE51026-HYPERSONIC AERODYNAMICS ,0,0,0,1,1,0,0,Spring 22
HS20002-GENERAL PSYCHOLOGY ,1,3,4,12,17,7,1,Autumn 22
AG31002-TRACTOR & POWER SYSTEMS ,14,25,13,1,2,0,0,Spring 22
AG31004-IRRIGATION & DRAINAGE ENGINEERING ,0,24,25,4,2,0,0,Spring 22
AG31006-FOOD SCIENCE & TECHNOLOGY ,0,3,11,22,13,5,0,Spring 22
AG31008-POST HARVEST ENGINEERING ,0,3,25,19,7,1,0,Spring 22
AG39002-TRACTOR & POWER SYSTEMS LABORATORY ,1,23,22,9,0,0,0,Spring 22
AG39004-IRRIGATION & DRAINAGE ENGINEERING LABORATORY ,10,28,9,6,1,1,0,Spring 22
AG39006-FOOD SCIENCE & TECHNOLOGY LABORATORY ,0,14,33,8,0,0,0,Spring 22
AG40011-TUBEWELLS AND PUMPS ,5,9,13,11,8,7,1,Autumn 22
AG47007-PROJECT-I ,6,19,10,3,0,0,1,Autumn 22
CS60065- ,6,4,8,5,3,3,0,Autumn 22
AG66001- ,11,0,0,0,0,0,0,Spring 22
AG60001- ,0,0,1,0,0,0,0,Autumn 22
AG60129- ,0,0,1,0,1,1,0,Autumn 22
AG60209- ,0,2,5,1,1,1,0,Autumn 22
AT30001-FUNDAMENTALS OF EMBEDDED CONTROL AND SOFTWARE ,3,19,39,26,10,0,4,Autumn 22
PH21204-OPTICS ,0,6,11,11,7,3,1,Spring 22
PH31201-QUANTUM MECHANICS ,4,3,5,9,12,4,2,Autumn 22
BM63015- ,0,0,0,0,0,0,1,Autumn 22
BM63059- ,0,0,2,1,1,2,1,Autumn 22
ES60011- ,6,12,5,3,2,0,0,Autumn 22
AG60103- ,0,0,0,1,1,0,0,Autumn 22
MA40205-THEORY OF ORDINARY DIFFERENTIAL EQUATIONS ,0,1,0,1,0,1,0,Autumn 22
HS60009- ,2,3,11,24,13,1,0,Autumn 22
EP61203- ,1,0,1,1,0,0,0,Autumn 22
AG60201- ,0,0,0,0,1,0,0,Autumn 22
MA41031-STOCHASTIC PROCESSES IN FINANCE ,21,13,21,17,17,10,2,Autumn 22
MA60237- ,1,12,18,11,0,0,0,Autumn 22
AG66002- ,3,0,0,0,0,0,0,Spring 22
EP67004- ,4,5,4,0,0,0,0,Spring 22
AG60301- ,0,0,0,0,0,1,0,Autumn 22
AR32002-ESTIMATION AND COSTING ,2,9,19,10,0,0,0,Spring 22
AR32004-HOUSING AND COMMUNITY PLANNING ,1,14,25,0,0,0,0,Spring 22
AR33202-ARCHITECTURAL DESIGN IV AND FIELD STUDY ,5,15,15,5,0,0,0,Spring 22
AR33204-INTERIOR DESIGN ,7,14,14,5,0,0,0,Spring 22
AR33206-WORKING DRAWING ,4,4,8,14,7,3,0,Spring 22
CE31004-DESIGN OF STEEL STRUCTURES ,8,22,38,39,14,5,0,Spring 22
CE31302-ENVIRONMENTAL ENGINEERING ,0,5,9,4,4,0,0,Spring 22
CE39006-STRUCTURAL DETAILING ,2,16,34,35,32,7,0,Spring 22
AR40023-BUILDING ACOUSTICS ,7,20,18,19,13,7,5,Autumn 22
AR42001-LANDSCAPE DESIGN & SITE PLANNING ,4,13,14,5,4,0,0,Autumn 22
AR43201-ARCHITECTURAL DESIGN - V & FIELD STUDY ,1,13,20,4,2,0,0,Autumn 22
AR43203-MATERIAL TESTING LAB ,0,39,1,0,0,0,0,Autumn 22
AR52006-BARRIER FREE ENVIRONMENT ,4,15,5,0,0,0,0,Autumn 22
CE39009-SOIL MECHANICS LABORATORY ,0,0,1,2,0,0,0,Autumn 22
ME40107-AIR CONDITIONING ,4,9,14,7,10,4,0,Autumn 22
HS20202-ECONOMETRIC ANALYSIS I ,9,44,15,0,0,0,0,Spring 22
BT31006-BIOINFORMATICS ,6,18,13,5,8,3,0,Spring 22
BT31010-PLANT CELL TISSUE CULTURE ,8,27,11,1,1,0,0,Spring 22
BT31014-IMMUNOLOGY ,6,11,13,10,7,1,0,Spring 22
BT39006-PLANT CELL & TISSUE CULTURE LABORATORY ,5,9,28,4,1,1,0,Spring 22
BT39008-BIOINFORMATICS LABORATORY ,23,7,3,6,2,2,0,Spring 22
CH39006-MASS TRANSFER LABORATORY ,47,78,37,14,8,5,3,Spring 22
BT40009-BIOPROCESS TECHNOLOGY ,0,4,13,21,8,1,0,Autumn 22
BT49001-ENZYME TECHNOLOGY LABORATORY ,6,14,18,5,4,0,0,Autumn 22
BT47007-PROJECT-I ,7,12,11,3,1,0,1,Autumn 22
MM60003- ,0,2,0,0,0,0,0,Autumn 22
MM40003-VACCINES AND IMMUNITY ,5,3,10,7,1,1,0,Autumn 22
MM61503- ,0,0,1,0,0,0,0,Autumn 22
CH40001-BIOCHEMICAL ENGINEERING ,9,18,25,19,16,13,6,Autumn 22
CY60005- ,1,0,5,1,1,1,0,Autumn 22
MM61207- ,2,1,2,1,0,1,0,Autumn 22
MM40005-MICROBIAL GENETICS AND GENETIC ENGINEERING ,2,1,1,0,0,0,0,Autumn 22
BT60007- ,0,1,0,0,0,0,0,Autumn 22
IP61025- ,0,0,0,0,1,1,0,Autumn 22
CR61026- ,0,1,1,0,0,2,0,Spring 22
EP61205- ,0,0,4,0,0,0,0,Autumn 22
BT47005-PROJECT - PART 1 ,0,1,0,0,0,0,0,Autumn 22
CE31002-FOUNDATION ENGINEERING ,1,3,4,8,30,29,10,Spring 22
CE39004-DESIGN SESSIONAL ,12,53,17,1,1,0,0,Spring 22
CE39008-CIVIL ENGG. DRAWING AND EST. ,15,17,36,12,4,1,1,Spring 22
CE41003-STRUCTURAL DYNAMICS & EARTHQUAKE ENGG. ,8,10,12,13,9,5,2,Autumn 22
CE47007-PROJECT-I ,8,15,20,2,0,2,4,Autumn 22
CE69021- ,4,19,38,18,4,3,0,Autumn 22
CE41601-SOLID WASTE MANAGEMENT ,9,15,5,1,1,0,1,Autumn 22
CE31111-DESIGN OF HYDRAULIC STRUCTURES ,4,16,11,12,7,5,0,Spring 22
HS30034-MANAGERIAL ECONOMICS ,3,7,4,1,0,0,1,Autumn 22
