course,EX,A,B,C,D,P,F,session
MA30014-OPERATION RESEARCH ,67,68,12,4,0,0,0,Spring 22
MA39014-OPERATION RESEARCH LABORATORY ,20,32,30,5,2,1,1,Spring 22
AE61002- ,0,0,0,1,1,0,0,Spring 22
EE60014- ,0,0,2,1,0,1,0,Spring 22
AE40006-COMPOSITE STRUCTURES ,0,0,1,0,0,0,0,Spring 22
AI60006- ,9,21,10,12,3,0,0,Spring 22
AI61005- ,3,18,25,11,5,0,0,Spring 22
MA41010-NON LINEAR PROGRAMMING ,2,21,14,1,0,0,0,Spring 22
AI69002- ,14,16,3,3,0,0,1,Spring 22
AT60002- ,3,10,2,3,1,0,0,Spring 22
RX60017- ,2,6,18,19,5,1,0,Spring 22
AI58001-COMPREHENSIVE VIVA VOCE ,3,5,15,13,1,0,0,Autumn 22
AI67001- ,5,12,11,6,3,0,0,Autumn 22
CS21003-ALGORITHMS - I ,11,33,23,9,0,0,0,Spring 22
MA40004-FILE ORGANIZATION AND DATABASE SYSTEMS ,6,25,63,18,3,2,0,Spring 22
AI60003- ,12,25,42,15,12,2,0,Autumn 22
HS60084- ,3,7,3,0,0,0,0,Spring 22
HS50017-EQUITY RESEARCH ,2,5,2,0,2,0,0,Spring 22
EP60025- ,8,18,16,19,15,4,0,Autumn 22
EP60029- ,12,40,37,9,2,0,0,Autumn 22
EP67005- ,6,5,2,0,0,0,0,Autumn 22
AT60004- ,0,6,4,6,0,0,0,Spring 22
BM40006-FINANCIAL RISK MODELING ,4,7,10,7,2,1,1,Spring 22
BM40012-DERIVATIVES AND RISK MANAGEMENT ,8,13,6,4,1,1,0,Spring 22
BM49002-FINANCIAL ANALYTICS ,13,30,13,0,0,0,0,Spring 22
BM51001-INVESTMENT MANAGEMENT ,5,13,15,0,0,0,0,Autumn 22
BM59001-MODELING AND SIMULATION OF FINANCIAL SYSTEMS ,2,6,10,7,3,1,1,Autumn 22
FP58001-COMPREHENSIVE VIVA VOCE ,4,6,10,3,2,0,0,Autumn 22
FP67001- ,4,7,10,3,1,0,0,Autumn 22
HS51002-FINANCIAL ECONOMETRICS ,5,7,17,7,0,0,0,Autumn 22
MA61061- ,3,9,0,4,3,3,0,Autumn 22
IM61003- ,0,0,0,3,1,0,0,Spring 22
KS20203-PANINIAN GRAMMAR FROM COMPUTATIONAL PERSPECTIVE ,0,0,0,1,1,2,0,Spring 22
MA49011-THEORY OF OPERATING SYSTEMS LAB. ,6,18,37,21,7,1,0,Spring 22
subject subjec,0,0,0,0,0,0,0,t_session
AG48002-COMPREHENSIVE VIVA VOCE ,0,0,5,10,4,0,0,Spring 22
AG60008- ,0,2,1,0,0,1,1,Spring 22
AG60124- ,0,0,0,0,0,1,0,Spring 22
AG60201- ,0,0,0,0,0,0,1,Spring 22
AG47006-PROJECT - PART 2 ,0,5,4,1,0,0,0,Spring 22
AG60127- ,0,0,1,1,0,0,0,Spring 22
AG60129- ,0,0,0,0,1,0,0,Spring 22
AG60151- ,0,0,0,0,1,0,0,Spring 22
