Course,Name,Profs,LTP,Creds,Slot,Room,EX,A,B,C,D,P,F
HS60092,ENERGY ECONOMICS AND POLICY,Mantu Kumar Mahalik,3-0-0,3,B3,NC342,8,21,8,2,0,0,0
HS60201,FUNDAMENTALS OF STAFFING,Kailash Bihari Lal Srivastava,2-0-0,2,A2,PSYCHOLOGY LAB,0,0,0,0,0,0,0
HS60208,MANPOWER ECONOMICS,Anubhab Pattanayak,2-0-0,2,E2,LANGUAGE LAB - III (JCB LAB COMPLEX),0,0,0,0,0,0,0
HS61202,PUBLIC POLICY,Krittika Banerjee,2-1-0,3,E3,0,0,0,0,0,0,0,0
KS20203,PANINIAN GRAMMAR FROM COMPUTATIONAL PERSPECTIVE,Dipesh Vinod Katira,3-0-0,3,G3,NC411,0,0,0,1,1,2,0
KS60204,INDIAN CALENDRICAL COMPUTATIONS - BHAARATIIYA-KAALA-GANANAA,Mahesh K,3-0-0,3,E3,NC411,0,0,0,0,0,0,0
EP60010,FINANCING NEW VENTURE,Titas Bhattacharjee (Rudra),3-0-0,3,G3,NR212,24,37,4,4,0,4,0
EP60018,INNOVATION MANAGEMENT,Basab Chakraborty,3-0-0,3,G3,NR213,7,14,5,0,0,0,0
EP61201,ENTREPRENEURSHIP ESSENTIALS,Manoj Kumar Mondal,3-1-0,4,"S3, B3",NR212,0,0,0,0,0,0,0
EP61202,OPERATIONS AND SUPPLY CHAIN MANAGEMENT,Ram Babu Roy,3-1-0,4,"S3, B3",NR313,0,0,0,0,0,0,0
EP61204,TECHNOPRENEURIAL MARKETING,Mamoni Banerjee,3-1-0,4,E4,NR313,0,0,0,0,0,0,0
RX60017,SPORTS AND WELL-BEING,Rajlakshmi Guha,2-0-0,2,B2,NC241,2,6,18,19,5,1,0
RX61002,SUSTAINABLE HAPPINESS,Atasi Mohanty,3-0-2,4,"S3, B2, B3",NC222,2,11,3,0,0,0,0
